№ п/п;Код ресурса;Наименование ресурса;Ед.изм.;Кол-во;Сметная стоимоть  в базисном уровне;;;;
;;;;;На ед.    изм.;Общ;ЗП маш;;
44;Прайслист ООО «Прибор-ГАНК»;"   - 01026043 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Хлороводород (гидрохлорид). Реле 1
- порог - 5 мг/м3. Выход норм.сигнала 4-20. К-т разъемов к каб. Диап. измерений: 2,5 - 100,0 мг/м3";комп.;9;62014,49;558130,41;;;243
24;Прайслист ООО «Прибор-ГАНК»;"   - 01026043 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Хлороводород (гидрохлорид). Реле 1
- порог - 5 мг/м3. Выход норм.сигнала 4-20. К-т разъемов к каб. Диап. измерений: 2,5 - 100,0 мг/м3";комп.;6;62014,49;62014,49;;;243
25;Прайслист ООО «Прибор-ГАНК»;"   - 01026049 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - N- Метилметанамин. Реле 1 - порог -
1 мг/м3. Выход норм.сигнала 4-20. К-т разъемов к каб. Диап. измерений: 0,5 - 20,0 мг/м3";комп.;1;62014,49;62014,49;;;233
40;Прайслист ООО «Прибор-ГАНК»;   - 01026057 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Ксилолы (диметилбензолы). Реле 1 - порог - 50 мг/м3. Выход норм.сигнала 4-20. К-т разъемов к каб. Диап. измерений: 25 - 100 мг/м3;комп.;1;62014,49;62014,49;;;238
41;Прайслист ООО «Прибор-ГАНК»;   - 01026063 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - 1,2-Дихлорэтан. Реле 1 - порог - 10 мг/м3. Выход норм.сигнала 4-20. К-т разъемов к каб. Диап. измерений: 5 - 200 мг/м3;комп.;1;62014,49;62014,49;;;227
26;Прайслист ООО «Прибор-ГАНК»;   - 01026086 ГАНК-4С Ex (Стац., маркировка: 2Exe(ib)dIIВТ4 X) - Метил-2-метилпроп-2-еноат (Метилметакрилат, метиловый эфир метакриловой кислоты). Реле 1 - порог - 10 мг/м3. Выход норм.сигнала 4-20. К-т разъемов к каб. Диап.измерений: 5 - 200 мг/м3;комп.;1;62014,49;62014,49;;;248
42;Прайслист ООО «Прибор-ГАНК»;   - 01026088 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Метилбензол (толуол). Реле 1 - порог - 50 мг/м3. Выход норм.сигн. 4-20 К-т разъемов к каб. Диап. измерений: 25 - 1000 мг/м3;комп.;1;62014,49;62014,49;;;232
45;Прайслист ООО «Прибор-ГАНК»;"   - 01026089 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Хлорметан (Метилхлорид). Реле 1 -
порог - 5 мг/м3. Выход норм.сигн. 4-20 К-т разъемов к каб. Диап. измерений: 2,5 - 100 мг/м3";комп.;5;62014,49;186043,47;;;235
19;Прайслист ООО «Прибор-ГАНК»;   - 01026092 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения  - Щелочь. Реле 1 - порог - 0,5 мг/м3. Выход норм.сигн. 4-20 К-т разъемов к каб. Диап. измерений: 0,25 - 10 мг/м3;комп.;10;62014,49;62014,49;;;220
43;Прайслист ООО «Прибор-ГАНК»;   - 01026119 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Пропан-2-ол (изопропиловый спирт). Реле 1 - порог - 10 мг/м3. Выход норм.сигнала 4-20 К-т разъемов к каб. Диап. измерений: 5 - 200 мг/м3;комп.;1;62014,49;62014,49;;;245
