№ п/п;Код ресурса;Наименование ресурса;Ед.изм.;Кол-во;Сметная стоимоть  в базисном уровне;;;;
;;;;;На ед.    изм.;Общ;ЗП маш;;
113;Прайс-лист Компьютерная фирма KNS;"Блок розеток Rem-16 с выкл., 8 Schuko, 16 A, алюминий, 19"", шнур 1,8 м   R-16-8S-V-440-1.8";шт;1;335,51;335,51;;;90
127;Прайс-лист Компьютерная фирма KNS;"Блок розеток Rem-16 с выкл., 8 Schuko, 16 A, алюминий, 19"", шнур 1,8 м   R-16-8S-V-440-1.8";шт;1;335,51;335,51;;;90
125;Прайс-лист Компьютерная фирма KNS;"Блок розеток Rem-16 с выкл., 8 Schuko, 16 A, алюминий, 19"", шнур 1,8 м   R-16-8S-V-440-1.8";шт;1;335,51;335,51;;;90
98;"Прайс-лист ГК ""Форма групп"" октябрь 2020г. п.7";Блок уплотнения БУ8-8-2G;шт;2;1672,17;3344,34;;;24
109;"Прайс-лист Компания""МИР БЕЗОПАСНОСТИ""";Блок управления противопожарными клапанами, для электромех. привода, 24В    БУОК-4 СВТ1163.41.310;шт;8;1758,65;14069,2;;;97
102;"Прайс-лист Компания""МИР БЕЗОПАСНОСТИ""";Блок управления противопожарными клапанами, для электромех. привода, 24В    БУОК-4 СВТ1163.41.310;шт;5;1758,65;8793,25;;;97
84;"Прайс-лист Компания""МИР БЕЗОПАСНОСТИ""";Блок управления противопожарными клапанами, для электромех. привода, 24В    БУОК-4 СВТ1163.41.310;шт;8;1758,65;14069,2;;;97
107;"Прайс-лист Компания""МИР БЕЗОПАСНОСТИ""";Блок управления противопожарными клапанами, для электромех. привода, 24В    БУОК-4 СВТ1163.41.310;шт;1;1758,65;1758,65;;;97
93;"Прайс-лист Компания""МИР БЕЗОПАСНОСТИ""";Блок управления противопожарными клапанами, для электромех. привода, 24В    БУОК-4 СВТ1163.41.310;шт;4;1758,65;7034,6;;;97
97;"Прайс-лист Компания""МИР БЕЗОПАСНОСТИ""";Блок управления противопожарными клапанами, для электромех. привода, 24В    БУОК-4 СВТ1163.41.310;шт;16;1758,65;28138,4;;;97
96;"Прайс-лист Компания""МИР БЕЗОПАСНОСТИ""";Блок управления противопожарными клапанами, для электромех. привода, 24В    БУОК-4 СВТ1163.41.310;шт;3;1758,65;5275,95;;;97
572;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.221, п.158";Блок управления ACW CR1-1R0 / N;комплект;1;49773,19;49773,19;;;31
811;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.162, п.100";Блок управления ACW CR1-1R0 /N;комплект;1;49517,23;49517,23;;;30
821;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.162, п.116";Блок управления ACW CR1-1R0 /N;комплект;1;49517,23;49517,23;;;30
871;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.164, п.190";Блок управления ACW CR1-1R0 /N;комплект;1;49517,23;49517,23;;;30
881;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.165, п.206";Блок управления ACW CR1-1R0 /N;комплект;1;49517,23;49517,23;;;30
950;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.167, п.325";Блок управления ACW CR1-1R0 /N;комплект;1;49517,23;49517,23;;;30
968;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.168, п.350";Блок управления ACW CR1-1R0 /N;комплект;1;49517,23;49517,23;;;30
978;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.168, п.368";Блок управления ACW CR1-1R0 /N;комплект;1;49517,23;49517,23;;;30
582;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.221, п.174";Блок управления ACW CR1-1R0 /N;комплект;1;49773,19;49773,19;;;30
626;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.222, п.236";Блок управления ACW CR1-1R0 /N;комплект;1;49773,19;49773,19;;;30
364;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/14 от 12.10.2020 г.,  116.4-01-СМ 4.2.2 стр291 п.135";Блок управления ACW CR1-1R0 /N;комплект;1;49598,19;49598,19;;;30
378;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/14 от 12.10.2020 г.,  116.4-01-СМ 4.2.2 стр291 п.160";Блок управления ACW CR1-1R0 /N;комплект;1;49598,19;49598,19;;;30
420;"Прайс ООО ""НЕД-центр"" № ND20-028792/20 от 13.11.2020г., 116.4-01-СМ4.2.2, стр.302, п.126";Блок управления ACW CR1-1R0 S-S/N резервный блок;комплект;1;12635,32;12635,32;;;48
398;"Прайс ООО ""НЕД-центр"" № ND20-028792/20 от 13.11.2020г., 116.4-01-СМ4.2.2, стр.301, п.108";Блок управления ACW CR1-1R0 S-S/N сблокировано с О1, основной блок;комплект;1;17547,37;17547,37;;;66
324;"Прайс ООО ""НЕД-центр"" ND20‐028790/21 от16.10.2020г., 116.4-01-СМ4.2.2, стр.309, п.56";Блок управления ACW CR1-1R0 S/N;комплект;1;13988,4;13988,4;;;31
330;"Прайс ООО ""НЕД-центр"" ND20‐028790/21 от16.10.2020г., 116.4-01-СМ4.2.2, стр.310, п.74";Блок управления ACW CR1-1R0 S/N;комплект;1;13988,4;13988,4;;;31
615;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.222, п.218";Блок управления ACW CR1-1R1R /N сблокировано с В8;комплект;1;50044,82;50044,82;;;49
704;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 212 п.93";Блок управления ACW CR1-1R1R +В5;комплект;1;12075,01;12075,01;;;32
696;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 212 п.112";Блок управления ACW CR1-1R1R +В6;комплект;1;12075,01;12075,01;;;32
313;"Прайс ООО ""НЕД-центр"" ND20‐028790/21 от16.10.2020г., 116.4-01-СМ4.2.2, стр.308, п.37";Блок управления ACW CR1-1R1R сблокировано с В2;комплект;1;9137,04;9137,04;;;46
385;"Прайс ООО ""НЕД-центр"" № ND20-028792/20 от 13.11.2020г., 116.4-01-СМ4.2.2, стр.300, п.62";Блок управления ACW CR1-1R1R сблокировано с В6;комплект;1;12105,07;12105,07;;;46
741;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020 г., 116.4-01-СМ4.2.2, стр.163, п.158";Блок управления ACW CR1-3R0 /N;комплект;1;49787,47;49787,47;;;30
744;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020 г., 116.4-01-СМ4.2.2, стр.164, п.174";Блок управления ACW CR1-3R0 /N;комплект;1;49787,47;49787,47;;;30
802;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.161, п.68";Блок управления ACW CR1-3R0 /N;комплект;1;49787,47;49787,47;;;30
824;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.162, п.84";Блок управления ACW CR1-3R0 /N;комплект;1;49787,47;49787,47;;;30
891;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.165, п.222";Блок управления ACW CR1-3R0 /N;комплект;1;49787,47;49787,47;;;30
901;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.165, п.238";Блок управления ACW CR1-3R0 /N;комплект;1;49787,47;49787,47;;;30
980;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.169, п.375";Блок управления ACW CR1-3R0 /N;комплект;1;49787,47;49787,47;;;30
990;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.169, п.391";Блок управления ACW CR1-3R0 /N;комплект;1;49787,47;49787,47;;;30
1024;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.170, п.433";Блок управления ACW CR1-3R0 /N;комплект;1;49787,47;49787,47;;;30
516;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.218, п.68";Блок управления ACW CR1-3R0 /N;комплект;1;50044,82;50044,82;;;30
530;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.219, п.84";Блок управления ACW CR1-3R0 /N;комплект;1;50116,58;50116,58;;;30
594;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.221, п.187";Блок управления ACW CR1-3R0 /N;шт;1;50044,82;50044,82;;;30
606;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.222, п.200";Блок управления ACW CR1-3R0 /N;шт;1;50044,82;50044,82;;;30
387;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/14 от 12.10.2020 г., 116.4-01-СМ 4.2.2 стр288  п.23";Блок управления ACW CR1-3R0 /N;комплект;1;49868,87;49868,87;;;30
395;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/14 от 12.10.2020 г., 116.4-01-СМ 4.2.2 стр288  п.7";Блок управления ACW CR1-3R0 /N;комплект;1;49868,87;49868,87;;;30
397;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/14 от 12.10.2020 г., 116.4-01-СМ 4.2.2 стр289  п.39";Блок управления ACW CR1-3R0 /N;комплект;1;49868,87;49868,87;;;30
398;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/14 от 12.10.2020 г., 116.4-01-СМ 4.2.2 стр289  п.71";Блок управления ACW CR1-3R0 /N;комплект;1;49868,87;49868,87;;;30
423;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/14 от 12.10.2020 г., 116.4-01-СМ 4.2.2 стр290 п.103";Блок управления ACW CR1-3R0 /N;комплект;1;49868,87;49868,87;;;30
432;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/14 от 12.10.2020 г., 116.4-01-СМ 4.2.2 стр290 п.119";Блок управления ACW CR1-3R0 /N;комплект;1;49868,87;49868,87;;;30
436;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/14 от 12.10.2020 г., 116.4-01-СМ 4.2.2 стр290 п.87";Блок управления ACW CR1-3R0 /N;комплект;1;49868,87;49868,87;;;30
519;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/14 от 12.10.2020 г.,116.4-01-СМ 4.2.2 стр289 п.64";Блок управления ACW CR1-3R0 /N;комплект;1;49868,87;49868,87;;;30
261;"КП ОП ООО ""НЕД-центр"" 10.10.2020г., 116.4-01-СМ 4.2.2 стр 270 п.32";Блок управления ACW CR1-3R0 /N;шт;2;49868,87;99737,74;;;30
198;"КП ОП ООО ""НЕД-центр"" 13.10.2020г. 16.4-01-СМ 4.2.2 стр 233 п. 12";Блок управления ACW CR1-3R0 1H25-S/N для П1;шт;1;17561,48;17561,48;;;43
208;"КП ОП ООО ""НЕД-центр"" 13.10.2020г. 16.4-01-СМ 4.2.2 стр 234 п. 24";Блок управления ACW CR1-3R0 1H25-S/N для П1р;шт;1;12645,12;12645,12;;;44
340;"Прайс ООО ""НЕД-центр"" ND20‐028790/21 от16.10.2020г., 116.4-01-СМ4.2.2, стр.310, п.85";Блок управления ACW CR1-3R0 1H25-S/N сблокированный пуск с О1;шт;1;14289,76;14289,76;;;61
734;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020 г., 116.4-01-СМ4.2.2, стр.163, п.129";Блок управления ACW CR1-3R0 1H25/N;шт;1;49915,67;49915,67;;;34
738;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020 г., 116.4-01-СМ4.2.2, стр.163, п.142";Блок управления ACW CR1-3R0 1H25/N;шт;1;49915,67;49915,67;;;34
749;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.160, п.13";Блок управления ACW CR1-3R0 1H25/N;шт;1;49915,67;49915,67;;;34
762;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.160, п.26";Блок управления ACW CR1-3R0 1H25/N;шт;1;49915,67;49915,67;;;34
780;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.161, п.39";Блок управления ACW CR1-3R0 1H25/N;шт;1;49915,67;49915,67;;;34
792;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.161, п.52";Блок управления ACW CR1-3R0 1H25/N;шт;1;49915,67;49915,67;;;34
913;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.166, п.251";Блок управления ACW CR1-3R0 1H25/N;шт;1;49915,67;49915,67;;;34
925;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.166, п.264";Блок управления ACW CR1-3R0 1H25/N;шт;1;49915,67;49915,67;;;34
937;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.166, п.277";Блок управления ACW CR1-3R0 1H25/N;шт;1;49915,67;49915,67;;;34
948;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.167, п.290";Блок управления ACW CR1-3R0 1H25/N;шт;1;49915,67;49915,67;;;34
1022;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.170, п.426";Блок управления ACW CR1-3R0 1H25/N;шт;1;49915,67;49915,67;;;34
463;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.217, п.13";Блок управления ACW CR1-3R0 1H25/N;шт;1;50173,69;50173,69;;;34
476;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.217, п.26";Блок управления ACW CR1-3R0 1H25/N;шт;1;50173,69;50173,69;;;34
494;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.218, п.39";Блок управления ACW CR1-3R0 1H25/N;шт;1;50173,69;50173,69;;;34
506;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.218, п.52";Блок управления ACW CR1-3R0 1H25/N;шт;1;50173,69;50173,69;;;34
517;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.219, п.100";Блок управления ACW CR1-3R0 1H25/N;комплект;1;50173,69;50173,69;;;34
545;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.220, п.116";Блок управления ACW CR1-3R0 1H25/N;комплект;1;50173,69;50173,69;;;34
557;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.220, п.129";Блок управления ACW CR1-3R0 1H25/N;шт;1;50173,69;50173,69;;;34
569;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/18 от 10.11.2020г., 116.4-01-СМ4.2.2, стр.220, п.142";Блок управления ACW CR1-3R0 1H25/N;шт;1;50173,69;50173,69;;;34
346;"Прайс ООО ""НЕД-центр"" № ND20-028792/20 от 13.11.2020г., 116.4-01-СМ4.2.2, стр.299, п.13";Блок управления ACW CR1-3R0 1H25/N;шт;1;50018,58;50018,58;;;34
359;"Прайс ООО ""НЕД-центр"" № ND20-028792/20 от 13.11.2020г., 116.4-01-СМ4.2.2, стр.299, п.26";Блок управления ACW CR1-3R0 1H25/N;шт;1;50018,58;50018,58;;;34
292;"Прайс ООО ""НЕД-центр"" ND20‐028790/21 от16.10.2020г., 116.4-01-СМ4.2.2, стр.307, п.13";Блок управления ACW CR1-3R0 1H25/N;шт;1;37754,6;37754,6;;;34
311;"Прайс ООО ""НЕД-центр"" ND20‐028790/21 от16.10.2020г., 116.4-01-СМ4.2.2, стр.308, п.26";Блок управления ACW CR1-3R0 1H25/N;шт;1;37754,6;37754,6;;;34
254;"КП ОП ООО ""НЕД-центр"" 10.10.2020г., 116.4-01-СМ 4.2.2 стр 269 п. 13";Блок управления ACW CR1-3R0 1H25/N;шт;2;49997,29;99994,58;;;34
1010;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/19 от 11.11.2020г., 116.4-01-СМ4.2.2, стр.169, п.413";Блок управления ACW CR1-3R0 1H32/N;шт;1;49930,76;49930,76;;;34
375;"Прайс ООО ""НЕД-центр"" № ND20-028792/20 от 13.11.2020г., 116.4-01-СМ4.2.2, стр.300, п.44";Блок управления ACW CR1-3R1R 1/N сблокировано с В2 и В3;комплект;1;19160,8;19160,8;;;55
402;"Прайс ООО ""НЕД-центр"" № ND20-028792/20 от 13.11.2020г., 116.4-01-СМ4.2.2, стр.301, п.76";Блок управления ACW CR1-3R1R сблокировано с В4;комплект;1;12447,65;12447,65;;;46
271;"КП ОП ООО ""НЕД-центр"" 10.10.2020г., 116.4-01-СМ 4.2.2 стр 271 п.60";Блок управления ACW CR1-3R1R сблокировано с В5;шт;1;12442,35;12442,35;;;46
428;"Прайс ООО ""НЕД-центр"" № ND20-028792/20 от 13.11.2020г., 116.4-01-СМ4.2.2, стр.302, п.140";Блок управления ACW CR1-3R1R сблокировано с О2;комплект;1;12447,65;12447,65;;;46
726;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 214 п.199";Блок управления ACW CR1-3R3R 1-1-RU-RU/N +О4+О4р;комплект;1;27199,24;27199,24;;;48
738;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 215 п.247";Блок управления ACW CR1-3R3R 1-1-RU-RU/N +О6+О6р;комплект;1;27199,24;27199,24;;;48
724;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 214 п.184";Блок управления ACW CR1-3R3R 1-1H25-2H25-RU/N +О3+О3р;комплект;1;23562,04;23562,04;;;53
687;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 211 п.74";Блок управления ACW CR1-3R3R 1-RU/N +В4+В4р;комплект;1;23305,74;23305,74;;;43
701;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 212 п.133";Блок управления ACW CR1-3R3R 1-RU/N +О1+О1р;комплект;1;23305,74;23305,74;;;43
767;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 217 п.355";Блок управления ACW CR1-3R3R 1-RU/N +О11+О11р;комплект;1;23305,74;23305,74;;;45
751;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 216 п.292";Блок управления ACW CR1-3R3R 1-RU/N +О8+О8р;комплект;1;23305,74;23305,74;;;43
756;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 216 п.313";Блок управления ACW CR1-3R3R 1-RU/N +О9+О9р;комплект;1;23305,74;23305,74;;;43
731;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 214 п.223";Блок управления ACW CR1-3R3R 1H25-2H25-3-RU/N +О5+О5р;комплект;1;23746,72;23746,72;;;53
438;"Прайс ООО ""НЕД-центр"" № ND20-028792/20 от 13.11.2020г., 116.4-01-СМ4.2.2, стр.302, п.152";Блок управления ACW CR1-3R3R 1H50-2H25 сблокировано с О3;шт;1;13592,54;13592,54;;;56
669;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 210 п.11";Блок управления ACW CR1-3R3R 3-RU/N +В1+В1р;комплект;1;23490,42;23490,42;;;43
674;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 210 п.32";Блок управления ACW CR1-3R3R 3-RU/N +В2+В2р;комплект;1;23490,42;23490,42;;;43
682;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 211 п.53";Блок управления ACW CR1-3R3R 3-RU/N +В3+В3р;комплект;1;23490,42;23490,42;;;43
763;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 217 п.334";Блок управления ACW CR1-3R3R 3-RU/N +О10+О10р;комплект;1;23490,42;23490,42;;;45
713;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 213 п.154";Блок управления ACW CR1-3R3R 3-RU/N +О2+О2р;комплект;1;23490,42;23490,42;;;43
744;"Прайс ОП ООО ""НЕД-центр"" № ND20-028792/22 от 06.12.2020, 116.4-01-СМ 4.6.1 стр 215 п.271";Блок управления ACW CR1-3R3R 3-RU/N +О7+О7р;комплект;1;23490,42;23490,42;;;43
410;"Прайс ООО ""НЕД-центр"" № ND20-028792/20 от 13.11.2020г., 116.4-01-СМ4.2.2, стр.301, п.90";Блок управления ACW CR1-3R3R сблокировано с В5;комплект;1;13163,05;13163,05;;;46
45;"стр.102, 116.4-01-СМ4.5.1, том 11.4.5.1; (КАЦ п.13.1, том 11.4.5.1) Прайс лист Сектор -СБ";Блок центральный процессорный БЦП «Р-08» исп.6;шт.;1;3216,91;3216,91;;;46
116;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.2;Боковые стенки для шкафа TS 8, TS 8108.235;шт.;11;9420,29;103623,19;;;42
72;"стр.14, п.18; 116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.22) КП ООО Тульские ""Машины""";Бункер-дозатор лотковый ПЛ-400, 5 м3/ч, габариты L3280х3058х4150 мм, 7,5 кВт, 700 кг;шт;1;72173,91;72173,91;;;84
73;"стр.14, п.18; 116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.30) КП ООО Тульские ""Машины""";Бункер-дозатор лотковый ПЛ-400, 5 м3/ч, габариты L3280х3058х4150 мм, 7,5 кВт, 700 кг;шт;1;72173,91;72173,91;;;84
74;"стр.14, п.18; 116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.6) КП ООО Тульские ""Машины""";Бункер-дозатор лотковый ПЛ-400, 5 м3/ч, габариты L3280х3058х4150 мм, 7,5 кВт, 700 кг;шт;1;72173,91;72173,91;;;84
35;"п.1; 116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.20.12), Прайс Торговый дом ""Тензо-М""";В составе насоса дозатора НД9, 1 бункер объемом 7 л, материал-нерж. сталь, 50 кг;шт;1;49982,61;49982,61;;;80
58;"п.1; 116.4-01-СМ4.5, Том 11.4.5 (КАЦ п.21.12) КП ООО «Элементарные машины»";Вакуумная коническая сушка (180л), габаритные размеры 1000х1200х15000, модель СКПВ-250, 16 кВт, 700 кг;шт;1;373043,48;373043,48;;;102
39;"п.1; 116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.21.11) КП ООО «Чистые Технологии»";"Вакуумный выпарной аппарат (1800 л/день, нерж сталь габаритные размеры 3000х2000х2400), модель
 ДЦС-75, 30 кВт, 3500 кг";шт;1;1152173,91;1152173,91;;;120
86;"Прайс лист ""Ресторан Комплект"" (116.4-01-СМ4.4  стр. 117)";Ванна. Внутренние размеры ванны, мм – 1 500×800×1 000;шт;4;2574,35;10297,4;;;53
93;"стр.288, п.2; 116.4-01-СМ4.5.2, Том 11.4.5.2  (КАЦ п.23.34), Прайс ""Энергоснабкомплект""";Вентилятор дутьевой ВДН-3,5, для отсасывания дымовых газов от оборудования с температурой перемещаемых газов +400 гр.С, расход 2000 м3/час, 1500 об/мин, 3 кВт, 90 кг;шт;2;3554,64;7109,28;;;165
94;"стр.288, п.4; 116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.35), Прайс ""Энергоснабкомплект""";Вентилятор дутьевой ВДН-6,3, для отсасывания дымовых газов от оборудования с температурой перемещаемых газов +400 гр.С, расход 4000 м3/час, 3000 об/мин, 22 кВт, 262 кг;шт;1;8476,23;8476,23;;;167
54;"п.4-3; 116.4-01-СМ4.5, Том 11.4.5 (КАЦ п.17.33), Прайс ООО ""ВентЭл""";Вентилятор осевой высокого давления 2500-2860 Па, 2870 об/мин, 3 кВт, расход воздуха 1000 м3/час, 60 кг;шт;4;2695,65;10782,6;;;103
39;"п.4-3; 116.4-01-СМ4.5, Том 11.4.5 (КАЦ п.18.23), Прайс ООО ""ВентЭл""";Вентилятор осевой высокого давления 2500-2860 Па, 2870 об/мин, 3 кВт, расход воздуха 1000 м3/час, 60 кг;шт;2;2695,65;5391,3;;;103
41;"стр.287, п.4-3;  116.4-01-СМ4.5.2, Том 11.4.5.2  (КАЦ п.19.21), Прайс ООО ""ВентЭл""";Вентилятор осевой высокого давления 2500-2860 Па, 2870 об/мин, 3 кВт, расход воздуха 1000 м3/час, 60 кг;шт;2;2695,65;5391,3;;;103
70;"п.4-3;  116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.20.33), Прайс ООО ""ВентЭл""";Вентилятор осевой высокого давления 2500-2860 Па, 2870 об/мин, 3 кВт, расход воздуха 1000 м3/час, 60 кг;шт;2;2695,65;5391,3;;;103
72;"п.4-3; 116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.21.34), Прайс ООО ""ВентЭл""";Вентилятор осевой высокого давления 2500-2860 Па, 2870 об/мин, 3 кВт, расход воздуха 1000 м3/час, 60 кг;шт;2;2695,65;5391,3;;;103
65;"п.4-3; 116.4-01-СМ4.5, Том 11.4.5 (КАЦ п.22.41), Прайс ООО ""ВентЭл""";Вентилятор осевой высокого давления 2500-2860 Па, 2870 об/мин, 3 кВт, расход воздуха 1000 м3/час, 60 кг;шт;2;2695,65;5391,3;;;103
48;"п.4-3; 116.4-01-СМ4.5, Том 11.4.5 (КАЦ п.24.23), Прайс ООО ""ВентЭл""";Вентилятор осевой высокого давления 2500-2860 Па, 2870 об/мин, 3 кВт, расход воздуха 1000 м3/час, 60 кг;шт;3;2695,65;8086,95;;;103
